timestamp,closing price,EMA,OI condition,RSI
2025-07-26 13:45:00,3754.53,no_trade,Open interest condition not fulfilled,67.65098830503103
2025-07-26 13:46:00,3754.36,no_trade,Open interest condition not fulfilled,65.82547520402716
2025-07-26 13:47:00,3748.64,no_trade,Open interest condition not fulfilled,48.6863612689941
2025-07-26 13:48:00,3748.51,no_trade,Open interest condition not fulfilled,48.30949942012113
2025-07-26 13:49:00,3748.06,no_trade,Open interest condition not fulfilled,47.22955427601702
2025-07-26 13:50:00,3749.33,no_trade,Open interest condition not fulfilled,50.73465731525108
2025-07-26 13:51:00,3746.16,no_trade,Open interest condition not fulfilled,42.766669421018506
2025-07-26 13:52:00,3745.56,no_trade,Open interest condition not fulfilled,41.434731774999214
2025-07-26 13:53:00,3747.08,no_trade,Open interest condition not fulfilled,45.533819098303425
2025-07-26 13:54:00,3746.09,no_trade,Open interest condition not fulfilled,42.9126478597734
2025-07-26 13:55:00,3744.13,no_trade,Open interest condition not fulfilled,38.47041776872068
2025-07-26 13:56:00,3744.12,no_trade,Open interest condition not fulfilled,38.42100464560896
2025-07-26 13:57:00,3744.59,short,Open interest condition not fulfilled,40.54633637614836
2025-07-26 13:58:00,3743.09,short,Open interest condition not fulfilled,37.165091351171846
2025-07-26 13:59:00,3744.15,short,Open interest condition not fulfilled,41.01309196093497
2025-07-26 14:00:00,3745.63,short,Decrease (5m+15),45.918701975723
2025-07-26 14:01:00,3741.28,short,Open interest condition not fulfilled,35.824965680920116
2025-07-26 14:02:00,3739.49,short,Open interest condition not fulfilled,32.70464601549746
2025-07-26 14:03:00,3742.81,short,Open interest condition not fulfilled,42.946149675806254
2025-07-26 14:04:00,3744.78,short,Open interest condition not fulfilled,47.88390905658089
2025-07-26 14:05:00,3746.71,short,Open interest condition not fulfilled,52.386019399087495
2025-07-26 14:06:00,3746.45,short,Open interest condition not fulfilled,52.08972854355569
2025-07-26 14:07:00,3747.62,short,Open interest condition not fulfilled,54.62071045102293
2025-07-26 14:08:00,3747.38,short,Open interest condition not fulfilled,53.51277198244194
2025-07-26 14:09:00,3749.58,short,Open interest condition not fulfilled,58.08483034136852
2025-07-26 14:10:00,3747.8,short,Open interest condition not fulfilled,53.531016575492785
2025-07-26 14:11:00,3746.91,short,Open interest condition not fulfilled,51.31436411108513
2025-07-26 14:12:00,3741.87,short,Open interest condition not fulfilled,41.052747662195394
2025-07-26 14:13:00,3742.5,short,Open interest condition not fulfilled,42.878297166955605
2025-07-26 14:14:00,3742.67,short,Open interest condition not fulfilled,43.30087288558011
2025-07-26 14:15:00,3742.66,short,Increase (5m+15m),44.03426179786823
2025-07-26 14:16:00,3741.94,short,Open interest condition not fulfilled,42.74339327035147
2025-07-26 14:17:00,3741.6,short,Open interest condition not fulfilled,42.08327105375382
2025-07-26 14:19:00,3744.61,short,Open interest condition not fulfilled,49.64108540371694
2025-07-26 14:20:00,3744.33,short,Open interest condition not fulfilled,48.99877024674973
2025-07-26 14:21:00,3745.54,short,Open interest condition not fulfilled,51.889739004285026
2025-07-26 14:22:00,3747.2,short,Open interest condition not fulfilled,55.61336948412579
2025-07-26 14:23:00,3746.71,short,Open interest condition not fulfilled,54.29233482694286
2025-07-26 14:24:00,3744.69,short,Open interest condition not fulfilled,49.05726045476461
2025-07-26 14:25:00,3742.63,short,Open interest condition not fulfilled,44.166800072884776
2025-07-26 14:26:00,3739.23,short,Open interest condition not fulfilled,37.73631501083823
2025-07-26 14:27:00,3738.28,short,Open interest condition not fulfilled,36.07091538070303
2025-07-26 14:28:00,3735.68,short,Open interest condition not fulfilled,34.424704623566484
2025-07-26 14:29:00,3731.08,short,Open interest condition not fulfilled,29.736096969749042
2025-07-26 14:30:00,3732.98,short,Increase (5m+15m),34.442702421720924
2025-07-26 14:31:00,3735.13,short,Open interest condition not fulfilled,39.34605004036176
2025-07-26 14:32:00,3736.49,short,Open interest condition not fulfilled,42.34954713854707
2025-07-26 14:33:00,3733.66,short,Open interest condition not fulfilled,38.381649878924655
2025-07-26 14:34:00,3735.76,short,Open interest condition not fulfilled,42.07462822626828
2025-07-26 14:35:00,3732.14,short,Open interest condition not fulfilled,36.861565531856854
2025-07-26 14:36:00,3732.11,short,Open interest condition not fulfilled,36.66754659550455
2025-07-26 14:37:00,3733.41,short,Open interest condition not fulfilled,40.83950262223562
2025-07-26 14:38:00,3728.91,short,Open interest condition not fulfilled,32.45583102492553
2025-07-26 14:39:00,3729.86,short,Open interest condition not fulfilled,33.972570020149234
2025-07-26 14:40:00,3732.12,short,Open interest condition not fulfilled,39.973005595840725
2025-07-26 14:41:00,3731.27,short,Open interest condition not fulfilled,38.30221415425321
2025-07-26 14:42:00,3733.59,short,Open interest condition not fulfilled,44.328225954918295
2025-07-26 14:43:00,3733.15,short,Open interest condition not fulfilled,43.36447467467386
2025-07-26 14:44:00,3734.46,short,Open interest condition not fulfilled,46.76799354060687
2025-07-26 14:45:00,3736.97,short,Open interest condition not fulfilled,52.61093120883464
2025-07-26 14:46:00,3735.5,short,Open interest condition not fulfilled,49.128749016538855
2025-07-26 14:47:00,3737.99,short,Open interest condition not fulfilled,55.01610362997573
2025-07-26 14:48:00,3735.82,short,Open interest condition not fulfilled,49.52773047665961
2025-07-26 14:49:00,3737.39,short,Open interest condition not fulfilled,53.44609914077623
2025-07-26 14:50:00,3736.14,short,Open interest condition not fulfilled,50.16010691425606
2025-07-26 14:51:00,3736.63,short,Open interest condition not fulfilled,51.40153679102515
2025-07-26 14:52:00,3738.01,short,Open interest condition not fulfilled,55.319894920599765
2025-07-26 14:53:00,3738.99,short,Open interest condition not fulfilled,57.77072750941565
2025-07-26 14:54:00,3730.51,short,Open interest condition not fulfilled,37.81840786003034
2025-07-26 14:55:00,3732.81,short,Open interest condition not fulfilled,43.12336214519571
2025-07-26 14:56:00,3731.23,short,Open interest condition not fulfilled,40.346421563241826
2025-07-26 14:57:00,3731.04,short,Open interest condition not fulfilled,40.011027338180774
2025-07-26 14:58:00,3730.7,short,Open interest condition not fulfilled,39.38116563997373
2025-07-26 14:59:00,3729.0,short,Open interest condition not fulfilled,36.30985024483412
2025-07-26 15:01:00,3729.0,short,Increase (5m+15m),36.30986247477273
2025-07-26 15:02:00,3732.29,short,Open interest condition not fulfilled,45.99339862561063
