timestamp,closing price,EMA,OI condition,RSI
2025-06-15 19:09:00,2551.05,long,Open interest condition not fulfilled,67.49458260231614
2025-06-15 19:10:00,2550.79,long,Open interest condition not fulfilled,65.8292683594305
2025-06-15 19:11:00,2549.76,long,Open interest condition not fulfilled,59.682482264471325
2025-06-15 19:12:00,2550.19,long,Open interest condition not fulfilled,61.71707305182555
2025-06-15 19:13:00,2549.99,long,Open interest condition not fulfilled,60.93044055445441
2025-06-15 19:14:00,2550.64,long,Open interest condition not fulfilled,63.66335550515677
2025-06-15 19:15:00,2551.23,long,Decrease (5m+15),66.01855200529816
2025-06-15 19:16:00,2549.43,long,Open interest condition not fulfilled,54.80429628703792
2025-06-15 19:17:00,2548.66,long,Open interest condition not fulfilled,50.26246554063359
2025-06-15 19:18:00,2544.93,long,Open interest condition not fulfilled,35.864420549997405
2025-06-15 19:19:00,2545.0,long,Open interest condition not fulfilled,35.95375490007741
2025-06-15 19:20:00,2546.89,long,Open interest condition not fulfilled,45.218645104502514
2025-06-15 19:21:00,2547.84,long,Open interest condition not fulfilled,49.398637638698496
2025-06-15 19:22:00,2547.41,long,Open interest condition not fulfilled,47.515035343274704
2025-06-15 19:23:00,2546.31,long,Open interest condition not fulfilled,42.98122891366139
2025-06-15 19:24:00,2546.82,long,Open interest condition not fulfilled,45.02124138197307
2025-06-15 19:25:00,2545.79,long,Open interest condition not fulfilled,40.56394290187575
2025-06-15 19:26:00,2545.69,long,Open interest condition not fulfilled,41.46421488912432
2025-06-15 19:27:00,2546.57,long,Open interest condition not fulfilled,46.016936984357024
2025-06-15 19:28:00,2546.11,long,Open interest condition not fulfilled,44.1307741769231
2025-06-15 19:29:00,2545.43,long,Open interest condition not fulfilled,41.41768938310395
2025-06-15 19:30:00,2546.99,long,Decrease (5m+15),49.11268469774543
2025-06-15 19:31:00,2545.68,long,Open interest condition not fulfilled,42.710444179502495
2025-06-15 19:32:00,2544.36,long,Open interest condition not fulfilled,37.35071211021779
2025-06-15 19:33:00,2545.09,long,Open interest condition not fulfilled,42.91263783225726
2025-06-15 19:34:00,2546.35,long,Open interest condition not fulfilled,48.64430807500841
2025-06-15 19:35:00,2546.89,long,Open interest condition not fulfilled,50.56160760176289
2025-06-15 19:36:00,2545.75,long,Open interest condition not fulfilled,46.19837125023556
2025-06-15 19:37:00,2545.54,long,Open interest condition not fulfilled,45.39812449350107
2025-06-15 19:38:00,2544.9,long,Open interest condition not fulfilled,43.032006005388695
2025-06-15 19:39:00,2542.62,long,Open interest condition not fulfilled,35.95612889048263
2025-06-15 19:40:00,2538.4,no_trade,Open interest condition not fulfilled,27.23705606452964
2025-06-15 19:41:00,2531.4,no_trade,Open interest condition not fulfilled,18.826234965764854
2025-06-15 19:42:00,2531.65,no_trade,Open interest condition not fulfilled,19.03337239657307
2025-06-15 19:43:00,2530.76,no_trade,Open interest condition not fulfilled,18.21602937881609
2025-06-15 19:44:00,2534.0,no_trade,Open interest condition not fulfilled,29.15633204693792
2025-06-15 19:45:00,2532.7,no_trade,Decrease (5m+15),24.500714163001092
2025-06-15 19:46:00,2535.0,no_trade,Open interest condition not fulfilled,33.490642968114074
2025-06-15 19:47:00,2536.08,no_trade,Open interest condition not fulfilled,37.07631589905495
2025-06-15 19:48:00,2536.35,short,Open interest condition not fulfilled,38.56470447583962
2025-06-15 19:49:00,2536.31,short,Open interest condition not fulfilled,38.510745840116144
2025-06-15 19:50:00,2534.66,short,Open interest condition not fulfilled,34.41946789306232
2025-06-15 19:51:00,2534.07,short,Open interest condition not fulfilled,33.174184881901596
2025-06-15 19:52:00,2534.59,short,Open interest condition not fulfilled,34.49683498424109
2025-06-15 19:53:00,2531.6,short,Open interest condition not fulfilled,28.14899271073432
2025-06-15 19:54:00,2531.46,short,Open interest condition not fulfilled,27.792491371844136
2025-06-15 19:55:00,2531.39,short,Open interest condition not fulfilled,28.771725043908774
2025-06-15 19:56:00,2530.67,short,Open interest condition not fulfilled,26.398719093382383
2025-06-15 19:57:00,2534.41,short,Open interest condition not fulfilled,42.65484672418253
2025-06-15 19:58:00,2534.61,short,Open interest condition not fulfilled,43.50180746935834
2025-06-15 19:59:00,2535.48,short,Open interest condition not fulfilled,46.36520594751805
2025-06-15 20:00:00,2535.4,short,Increase (5m+15m),46.168957630563405
2025-06-15 20:05:00,2531.74,short,Open interest condition not fulfilled,36.126477880700754
2025-06-15 20:06:00,2532.2,short,Open interest condition not fulfilled,37.41372471459212
2025-06-15 20:07:00,2529.27,short,Open interest condition not fulfilled,30.062667018794826
2025-06-15 20:08:00,2527.65,short,Open interest condition not fulfilled,31.554644498235746
2025-06-15 20:09:00,2526.78,short,Open interest condition not fulfilled,28.223680171756868
2025-06-15 20:13:00,2524.1,short,Open interest condition not fulfilled,28.694186577009773
