timestamp,closing price,EMA,OI condition,RSI
2025-06-13 12:30:00,2551.52,long,Open interest condition not fulfilled,57.13764956670849
2025-06-13 12:31:00,2557.21,long,Open interest condition not fulfilled,67.65925600070628
2025-06-13 12:32:00,2561.1,long,Open interest condition not fulfilled,72.51657488773981
2025-06-13 12:33:00,2558.86,long,Open interest condition not fulfilled,66.17589412310699
2025-06-13 12:34:00,2554.14,long,Open interest condition not fulfilled,55.51983936820386
2025-06-13 12:35:00,2555.69,long,Open interest condition not fulfilled,57.93936004802935
2025-06-13 12:36:00,2551.57,long,Open interest condition not fulfilled,50.152664909000464
2025-06-13 12:37:00,2549.27,long,Open interest condition not fulfilled,46.57580285915246
2025-06-13 12:38:00,2548.83,long,Open interest condition not fulfilled,45.885446337790235
2025-06-13 12:39:00,2547.42,long,Open interest condition not fulfilled,43.61910504216561
2025-06-13 12:40:00,2548.1,long,Open interest condition not fulfilled,44.8790780537111
2025-06-13 12:41:00,2551.0,long,Open interest condition not fulfilled,50.734498924087845
2025-06-13 12:42:00,2550.16,long,Open interest condition not fulfilled,49.04664418913429
2025-06-13 12:43:00,2549.09,long,Open interest condition not fulfilled,47.15873340897872
2025-06-13 12:44:00,2544.4,long,Open interest condition not fulfilled,39.78971900693271
2025-06-13 12:45:00,2545.28,long,Open interest condition not fulfilled,41.323639717056345
2025-06-13 12:46:00,2543.73,long,Open interest condition not fulfilled,38.96420143133431
2025-06-13 12:47:00,2545.03,long,Open interest condition not fulfilled,41.8336061475411
2025-06-13 12:48:00,2544.63,long,Open interest condition not fulfilled,41.123519108906244
2025-06-13 12:49:00,2547.46,long,Open interest condition not fulfilled,47.62451582344054
2025-06-13 12:50:00,2546.36,long,Open interest condition not fulfilled,45.480675700724035
2025-06-13 12:51:00,2544.6,long,Open interest condition not fulfilled,42.220302991492424
2025-06-13 12:52:00,2542.46,long,Open interest condition not fulfilled,38.61931722122031
2025-06-13 12:53:00,2539.7,long,Open interest condition not fulfilled,34.46825947760756
2025-06-13 12:55:00,2541.11,long,Open interest condition not fulfilled,38.10923662681869
2025-06-13 12:56:00,2539.96,long,Open interest condition not fulfilled,36.18685713587997
2025-06-13 12:57:00,2538.84,long,Open interest condition not fulfilled,35.21388841281407
2025-06-13 12:58:00,2538.23,long,Open interest condition not fulfilled,33.62077963716571
2025-06-13 12:59:00,2538.11,long,Open interest condition not fulfilled,33.4489777207837
2025-06-13 13:00:00,2541.18,long,Open interest condition not fulfilled,42.4003847549417
2025-06-13 13:01:00,2538.5,long,Decrease (5m+15),37.680775315673664
2025-06-13 13:02:00,2536.67,long,Open interest condition not fulfilled,34.716535957391315
2025-06-13 13:03:00,2537.15,long,Open interest condition not fulfilled,35.55840207954604
2025-06-13 13:04:00,2537.11,long,Open interest condition not fulfilled,35.893413974622376
2025-06-13 13:05:00,2538.87,long,Open interest condition not fulfilled,41.56180430891163
2025-06-13 13:06:00,2537.13,long,Open interest condition not fulfilled,38.41986313511438
2025-06-13 13:07:00,2535.85,long,Open interest condition not fulfilled,36.302218400231595
2025-06-13 13:08:00,2536.84,long,Open interest condition not fulfilled,39.23924384653416
2025-06-13 13:09:00,2535.15,long,Open interest condition not fulfilled,35.66719774180804
2025-06-13 13:10:00,2536.92,long,Open interest condition not fulfilled,39.585307728873
2025-06-13 13:11:00,2538.6,long,Open interest condition not fulfilled,44.83338388325893
2025-06-13 13:12:00,2540.1,long,Open interest condition not fulfilled,49.09504029526577
2025-06-13 13:13:00,2540.43,long,Open interest condition not fulfilled,50.05408351206148
2025-06-13 13:14:00,2539.99,long,Open interest condition not fulfilled,49.09540797137227
2025-06-13 13:15:00,2540.36,long,Open interest condition not fulfilled,49.950742633739175
2025-06-13 13:16:00,2544.9,long,Open interest condition not fulfilled,60.69263674859234
2025-06-13 13:17:00,2545.25,long,Open interest condition not fulfilled,60.32267335135419
2025-06-13 13:18:00,2539.46,long,Open interest condition not fulfilled,46.750370635702545
