timestamp,closing price,EMA,OI condition,RSI
2025-06-21 09:25:00,2437.28,long,Open interest condition not fulfilled,62.94351242592514
2025-06-21 09:26:00,2436.9,long,Open interest condition not fulfilled,61.27977095576915
2025-06-21 09:27:00,2436.55,long,Open interest condition not fulfilled,58.849536431291654
2025-06-21 09:28:00,2436.03,long,Open interest condition not fulfilled,55.241667749939275
2025-06-21 09:29:00,2435.75,long,Open interest condition not fulfilled,53.37858460222536
2025-06-21 09:30:00,2435.99,long,Increase (5m+15m),54.54694942272906
2025-06-21 09:31:00,2435.56,long,Open interest condition not fulfilled,51.68631629588579
2025-06-21 09:32:00,2434.86,long,Open interest condition not fulfilled,47.56383173156786
2025-06-21 09:33:00,2435.04,long,Open interest condition not fulfilled,48.666552740658695
2025-06-21 09:34:00,2434.38,long,Open interest condition not fulfilled,45.251362141068135
2025-06-21 09:35:00,2435.58,long,Open interest condition not fulfilled,52.16542552190947
2025-06-21 09:36:00,2437.6,long,Open interest condition not fulfilled,60.81920660248487
2025-06-21 09:37:00,2439.22,long,Open interest condition not fulfilled,66.22002180698752
2025-06-21 09:38:00,2438.19,long,Open interest condition not fulfilled,61.88994745218396
2025-06-21 09:39:00,2438.94,long,Open interest condition not fulfilled,64.45348123273052
2025-06-21 09:40:00,2438.93,long,Open interest condition not fulfilled,62.96577671403127
2025-06-21 09:41:00,2438.85,long,Open interest condition not fulfilled,61.02787195015465
2025-06-21 09:42:00,2440.6,long,Open interest condition not fulfilled,68.26222703120322
2025-06-21 09:43:00,2442.31,long,Open interest condition not fulfilled,72.57128080289081
2025-06-21 09:44:00,2442.44,long,Open interest condition not fulfilled,72.76244500010097
2025-06-21 09:45:00,2442.0,long,Decrease (5m+15),70.8312915421866
2025-06-21 09:46:00,2440.91,long,Open interest condition not fulfilled,64.01860164221188
2025-06-21 09:47:00,2440.86,long,Open interest condition not fulfilled,63.20358663707136
2025-06-21 09:48:00,2439.51,long,Open interest condition not fulfilled,55.4388860424719
