timestamp,closing price,EMA,OI condition,RSI
2025-06-18 14:24:00,2532.14,long,Open interest condition not fulfilled,63.38265885248579
2025-06-18 14:25:00,2532.19,long,Open interest condition not fulfilled,63.45332315849039
2025-06-18 14:26:00,2531.08,long,Open interest condition not fulfilled,61.902990239870356
2025-06-18 14:27:00,2537.66,long,Open interest condition not fulfilled,67.87731655114676
2025-06-18 14:28:00,2535.99,long,Open interest condition not fulfilled,66.39242362870925
2025-06-18 14:29:00,2533.31,long,Open interest condition not fulfilled,62.79888598904259
2025-06-18 14:30:00,2532.76,long,Decrease (5m+15),61.35183709909872
2025-06-18 14:31:00,2529.37,long,Open interest condition not fulfilled,56.30144205135469
2025-06-18 14:32:00,2528.25,long,Open interest condition not fulfilled,54.584361725952405
2025-06-18 14:33:00,2526.73,long,Open interest condition not fulfilled,52.17568484741396
2025-06-18 14:34:00,2527.92,long,Open interest condition not fulfilled,53.95681258880586
2025-06-18 14:35:00,2524.82,long,Open interest condition not fulfilled,49.06915625191403
2025-06-18 14:36:00,2524.49,long,Open interest condition not fulfilled,48.51701458151842
2025-06-18 14:37:00,2528.29,long,Open interest condition not fulfilled,54.44802184752814
2025-06-18 14:38:00,2530.76,long,Open interest condition not fulfilled,58.02295311472058
2025-06-18 14:39:00,2534.47,long,Open interest condition not fulfilled,62.25833209577308
2025-06-18 14:40:00,2533.02,long,Open interest condition not fulfilled,59.47330630598711
2025-06-18 14:41:00,2525.84,long,Open interest condition not fulfilled,48.67566512725437
2025-06-18 14:42:00,2527.48,long,Open interest condition not fulfilled,50.898774014513634
2025-06-18 14:43:00,2530.33,long,Open interest condition not fulfilled,54.518575884467566
2025-06-18 14:44:00,2527.89,long,Open interest condition not fulfilled,51.292160661650286
2025-06-18 14:45:00,2527.07,long,Open interest condition not fulfilled,50.061121115740235
2025-06-18 14:46:00,2525.55,long,Open interest condition not fulfilled,47.84171614008854
2025-06-18 14:47:00,2525.51,long,Open interest condition not fulfilled,47.74342549898132
2025-06-18 14:48:00,2522.89,long,Open interest condition not fulfilled,43.74887477401836
2025-06-18 14:49:00,2513.7,long,Open interest condition not fulfilled,33.49676592634883
2025-06-18 14:50:00,2510.25,long,Open interest condition not fulfilled,32.1104353319072
2025-06-18 14:51:00,2504.86,long,Open interest condition not fulfilled,27.973643044348634
2025-06-18 14:52:00,2499.3,long,Open interest condition not fulfilled,24.115300668413823
2025-06-18 14:53:00,2499.44,long,Open interest condition not fulfilled,24.87978885848409
2025-06-18 14:54:00,2494.76,long,Open interest condition not fulfilled,22.246189365719772
2025-06-18 14:55:00,2498.68,long,Open interest condition not fulfilled,27.76330761342139
2025-06-18 14:56:00,2499.08,long,Open interest condition not fulfilled,29.02765718408331
2025-06-18 14:57:00,2503.36,long,Open interest condition not fulfilled,36.36941694044596
2025-06-18 14:58:00,2505.72,long,Open interest condition not fulfilled,40.22663039757197
2025-06-18 14:59:00,2504.26,long,Open interest condition not fulfilled,38.789502342991135
2025-06-18 15:00:00,2504.21,long,Open interest condition not fulfilled,38.91418829018973
2025-06-18 15:01:00,2502.75,long,Open interest condition not fulfilled,37.53170627767015
2025-06-18 15:02:00,2508.57,long,Open interest condition not fulfilled,46.12651168873892
2025-06-18 15:03:00,2507.98,long,Open interest condition not fulfilled,45.33164949182959
2025-06-18 15:04:00,2510.55,long,Open interest condition not fulfilled,48.95441701010956
2025-06-18 15:05:00,2512.38,long,Open interest condition not fulfilled,51.18837780406862
2025-06-18 15:06:00,2511.27,long,Open interest condition not fulfilled,49.55432307245238
2025-06-18 15:07:00,2507.85,long,Open interest condition not fulfilled,45.16335756534782
2025-06-18 15:08:00,2509.5,long,Open interest condition not fulfilled,47.640092201879646
2025-06-18 15:09:00,2509.49,long,Open interest condition not fulfilled,47.6930670344561
2025-06-18 15:10:00,2508.27,long,Open interest condition not fulfilled,45.83282322577599
2025-06-18 15:11:00,2503.24,long,Open interest condition not fulfilled,39.116881781536215
2025-06-18 15:12:00,2501.05,long,Open interest condition not fulfilled,37.79840617548025
2025-06-18 15:13:00,2499.69,long,Open interest condition not fulfilled,35.46105509188432
2025-06-18 15:14:00,2498.98,long,Open interest condition not fulfilled,34.597391034608464
2025-06-18 15:15:00,2500.59,long,Increase (5m+15m),37.95323395903731
2025-06-18 15:16:00,2495.48,long,Open interest condition not fulfilled,30.886321374914502
2025-06-18 15:17:00,2492.78,long,Open interest condition not fulfilled,28.26920992185704
2025-06-18 15:18:00,2492.41,no_trade,Open interest condition not fulfilled,31.888092317550758
2025-06-18 15:19:00,2497.62,no_trade,Open interest condition not fulfilled,41.03321264388854
